TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,样本提示
短期用户,1,1019,452,0.4435721295387635,2.616290480863592,可观察
短期用户,0,2533,394,0.15554678247137782,2.5325700750098696,可观察
中期用户,1,583,56,0.09605488850771869,3.3036020583190395,可观察
中期用户,0,1491,46,0.03085177733065057,3.7961099932930917,可观察
长期用户,0,2,0,0.0,2.5,小样本
长期用户,1,2,0,0.0,1.5,小样本
