指标名称,指标数值
用户总数,5630
流失用户数,948
总体流失率,0.168383659
平均订单数,2.961811723
订单数中位数,2
平均优惠券使用数,1.71687389
平均返现金额,177.2230302
平均App使用时长,2.934635879
平均满意度得分,3.06678508
平均距上次下单天数,4.459325044
